Barcode Number,Brand,Frame Name,Color,Type,Unit Price,MSRP Price
716736995847,Marc Jacobs,513,7HH GREY PINK,Frame,60.63,181.89
716736336800,Marc Jacobs,513,789 LILAC,Frame,60.63,181.89
197737129088,Marc Jacobs,511/F,789 LILAC,Frame,56.61,169.83
716736336794,Marc Jacobs,511,789 LILAC,Frame,56.61,169.83
716736320465,Marc Jacobs,510,KB7 GREY,Frame,60.63,181.89
716736320403,Marc Jacobs,510,O86HVN,Frame,60.63,181.89
716736995892,Marc Jacobs,464,FWM NUDE,Frame,55.94,167.82
197737026059,Marc Jacobs,462/F,O9Q BROWN,Frame,65.99,197.97
197737249878,Marc Jacobs,400,CVTTEALHVN,Frame,65.99,197.97
197737249861,Marc Jacobs,400,ATKHVNPTT,Frame,37.18,111.54
716736095394,Marc Jacobs,336/S,807 BLACK,Sunglasses,81.74,224.79
197737262822,Hugo Boss,1924/G/U,2M2 BLK GOLD,Frame,81.74,245.22
716736980622,Marc Jacobs,1132/G,O86HVN,Frame,66.28,198.84
197737209230,Marc Jacobs,1129,X8Q0 BWBLUHV,Frame,65.66,196.98
197737205485,Marc Jacobs,1127/G/S,DiU,Sunglasses,64.99,178.72
197737202645,Marc Jacobs,1123,IWF,Frame,63.65,190.95
197737130770,Marc Jacobs,1119/S,807 BLACK,Sunglasses,67.0,184.25
197737130886,Marc Jacobs,1107,YOLGREYBEIGE,Frame,67.0,201.00
716736976761,Marc Jacobs,1096/F,1ED GREEN,Frame,65.99,197.97
197737026271,Marc Jacobs,1096,LHF BURGUNDY,Frame,65.99,197.97
716736858760,Marc Jacobs,915,6AK GREEN HRN’,Frame,69.68,209.04
197737280826,Marc Jacobs,906/S,8SOMTGD,Sunglasses,60.3,165.83
197737235178,Marc Jacobs,900/G,FWM NUDE,Frame,54.6,163.80
197737238452,Marc Jacobs,899/G,MVU AZURE,Frame,56.94,170.82
197737238421,Marc Jacobs,893/US,CVT TEALHVN',Frame,63.31,189.93
197737337131,Marc Jacobs,885/S,SY5 KHAKI,Sunglasses,56.61,155.68
197737244040,Marc Jacobs,884/S,807 BLACK,Sunglasses,52.26,143.72
197737243920,Marc Jacobs,883/S,JWJGRNBW,Sunglasses,57.62,158.46
197737244026,Marc Jacobs,872/G,ZX9 BLUE AZUR,Frame,57.62,172.86
197737243999,Marc Jacobs,870/G,JU2GOLD,Frame,52.26,156.78
197737207991,Marc Jacobs,862,FWM NUDE,Frame,66.28,198.84
197737205607,Marc Jacobs,857,80S BLACK,Frame,54.94,164.82
197737205553,Marc Jacobs,855,80S BLACK,Frame,49.58,148.74
197737208042,Marc Jacobs,851/S,WR7 BLK,Sunglasses,66.28,182.27
197737207939,Marc Jacobs,836,807 BLACK,Frame,60.3,180.90
197737208158,Hugo Boss,1884/G,PJPBLUE,Frame,60.63,181.89
197737262723,Hugo Boss,1884/G,KB7 GREY,Frame,75.04,225.12
197737255800,Hugo Boss,1858/G/U,O86HVN,Frame,58.96,176.88
197737255220,Marc Jacobs,741,O6JGOLD,Frame,58.96,176.88
197737255190,Hugo Boss,1670/F,1ED GREEN,Frame,77.38,232.14
197737255084,Hugo Boss,1478/F,PJPBLUE,Frame,60.3,180.90
197737255282,Hugo Boss,O680/IT,ZX9 BLUEAZUR,Frame,73.7,221.10
197737199647,Carolina Herrera,396,807 BLACK,Frame,80.4,241.20
197737208486,Carolina Herrera,387,‘ 789 LILAC,Frame,65.99,197.97
197737138745,Carolina Herrera,0382,FWM NUDE,Frame,89.11,267.33
197737282868,Carolina Herrera,O269/CS,O86HVN,Sunglasses,75.04,206.36
197737132163,Carolina Herrera,02568/G/S,O86 HVN,Sunglasses,92.46,254.27
197737130658,Carolina Herrera,O381/G,381BLUEHORN,Frame,71.02,213.06
716736983134,Carolina Herrera,374/S,80S BLACK,Sunglasses,89.11,245.05
716736747446,Carolina Herrera,0373/S,OWM,Sunglasses,91.12,250.58
716736240435,Carolina Herrera,368,807 BLACK 5316 ; 1 O Piece 115.00 33.00% 77.05,Frame,89.11,267.33
197737264024,Carolina Herrera,311,OT7 PLUM,Frame,87.1,261.30
197737257996,Carolina Herrera,0O285/G/S,O86 HVN,Sunglasses,77.06,211.92
197737257934,Carolina Herrera,274,807 BLACK,Frame,74.37,223.11
197737257880,Carolina Herrera,255/S,807 BLACK,Sunglasses,74.37,204.52
197737258030,Carolina Herrera,0176/G/S,KDX,Sunglasses,99.98,274.95
197737263041,Carolina Herrera,152,HAQSHD GRY,Frame,54.94,164.82
197737263362,Carolina Herrera,0355,DDBGOLD,Frame,57.62,172.86
197737072682,Marc Jacobs,833,789 LILAC,Frame,74.37,223.11
197737073138,Marc Jacobs,815/S,807 BLACK,Sunglasses,84.42,232.16
197737074326,Marc Jacobs,779/F,KB7 GREY,Frame,74.37,223.11
197737075033,Marc Jacobs,779,OMY BRW_,Frame,74.37,223.11
197737075026,Marc Jacobs,768/F,"LHF BURGUNDY 5516 $252.1 1 O Piece 84.50 33.00% 56.61 7,",Frame,87.1,261.30
197737074937,Marc Jacobs,754,KB7 GREY,Frame,87.1,261.30
197737074920,Carolina Herrera,O331,O86HVN,Frame,81.74,245.22
197737076200,Carolina Herrera,321,RHL GOLD BLCK,Frame,79.73,239.19
197737268184,,,,,64.32,192.96
197737258207,,,,,64.32,192.96
197737258191,,,,,81.74,245.22
197737262532,,,,,81.74,245.22
197737262563,,,,,77.05,231.15
197737258412,,,,,77.05,231.15
197737258406,,,,,88.44,265.32
197737208912,,,,,83.08,249.24
197737132644,,,,,79.73,239.19
197737132590,,,,,71.02,213.06
197737128173,,,,,74.37,223.11
197737127985,,,,,66.33,198.99
197737121877,,,,,96.48,289.44
197737121709,,,,,66.33,198.99
197737074777,,,,,69.68,209.04
197737072407,,,,,68.34,205.02
197737067663,,,,,99.83,299.49
197737062736,,,,,65.66,196.98
716736982281,,,,,69.68,209.04
716736991566,,,,,74.37,223.11
716736984520,,,,,86.43,259.29
716736868455,,,,,68.34,205.02
716736922171,,,,,86.43,259.29
716736921372,,,,,66.33,198.99
716736801179,,,,,71.02,213.06
716736801544,,,,,84.42,253.26
197737048525,,,,,71.02,213.06
716736747682,,,,,74.37,223.11
716736719962,,,,,79.06,237.18
197737211660,,,,,80.4,241.20
197737208578,,,,,63.65,190.95
197737198176,,,,,45.56,136.68
197737208882,,,,,76.38,229.14
197737212650,,,,,73.7,221.10
197737212599,,,,,84.75,254.25
197737115883,,,,,60.63,181.89
197737115784,,,,,58.29,174.87
197737129576,,,,,60.63,181.89
197737081294,,,,,60.63,181.89
197737060879,,,,,56.61,169.83
197737081266,,,,,63.65,190.95
716736980423,,,,,79.06,237.18
197737211646,,,,,79.73,239.19
0197737053734,,,,,52.93,158.79
0197737072117,,,,,54.27,162.81
0197737099442,,,,,60.3,180.90
0197737142162,,,,,60.3,180.90
0197737141455,,,,,63.65,190.95
0197737182632,,,,,54.94,164.82
0197737213138,,,,,61.64,184.92
0197737246242,,,,,58.96,176.88
0197737246310,,,,,46.23,138.69
0197737274665,,,,,63.65,190.95
0197737274313,,,,,63.62,190.86
0197737274382,,,,,58.26,174.78
0197737274528,,,,,58.26,174.78
0197737274542,,,,,56.95,170.85
0197737271251,,,,,51.56,154.68
0197737283087,,,,,61.61,184.83
0197737285159,,,,,61.61,184.83
0197737285180,,,,,61.61,184.83
0197737283728,,,,,61.61,184.83
0197737284503,,,,,61.61,184.83
0197737341701,,,,,50.22,150.66
0197737341749,,,,,81.53,244.59
0197737341817,,,,,40.2,120.60
0197737341848,,,,,41.54,124.62
0197737341893,,,,,61.61,184.83
0197737377008,,,,,52.93,158.79
0716736847368,,,,,60.3,180.90
0716736924052,,,,,45.56,136.68
0716736973791,,,,,46.9,140.70
0716736989648,,,,,57.59,172.77
0197737196011,,,,,52.26,156.78
0197737211080,,,,,58.93,176.79
0197737217631,,,,,64.32,192.96
0197737211240,,,,,62.95,188.85
0197737219420,,,,,62.95,188.85
0197737219383,,,,,50.22,150.66
0197737273903,,,,,55.58,166.74
0197737273989,,,,,55.58,166.74
0197737274030,,,,,52.9,158.70
0197737274245,,,,,55.58,166.74
0716736973821,,,,,66.3,198.90
0197737024512,,,,,64.29,192.87
0197737025717,,,,,37.49,112.47
0197737004781,,,,,51.56,154.68
0197737053437,,,,,48.88,146.64
0197737053499,,,,,61.61,184.83
0197737069148,,,,,58.93,176.79
0197737076016,,,,,58.93,176.79
0197737075910,,,,,57.59,172.77
0197737075927,,,,,57.59,172.77
0197737075682,,,,,60.27,180.81
0197737099107,,,,,48.88,146.64
0197737099145,,,,,48.88,146.64
0197737099213,,,,,47.54,142.62
0197737122263,,,,,52.9,158.70
0197737122270,,,,,52.9,158.70
0197737100070,,,,,61.61,184.83
0197737100162,,,,,60.27,180.81
0197737140588,,,,,61.61,184.83
0197737140632,,,,,61.61,184.83
0197737170998,,,,,30.82,92.46
0197737170110,,,,,55.27,165.81
0197737170127,,,,,55.27,165.81
0197737182878,,,,,52.26,156.78
0197737179939,,,,,62.95,188.85
0197737179984,,,,,69.68,209.04
0197737195953,,,,,50.92,152.76
0197737195977,,,,,50.92,152.76
0197737195984,,,,,48.24,144.72
0197737030926,,,,,51.56,154.68
0716736294483,,,,,48.88,146.64
0716736294520,,,,,48.88,146.64
0716736795300,,,,,36.15,108.45
0716736795317,,,,,36.15,108.45
0197737211455,,,,,51.56,154.68
0716736923277,,,,,64.29,192.87
0716736973883,,,,,48.88,146.64
0716736973890,,,,,48.88,146.64
0197737295288,,,,,52.9,158.70
0197737295301,,,,,52.9,158.70
0197737298326,,,,,57.59,172.77
0197737298340,,,,,57.59,172.77
0197737324896,,,,,61.61,184.83
0197737325053,,,,,65.63,196.89
0197737325060,,,,,65.63,196.89
0197737341329,,,,,55.58,166.74
0197737341350,,,,,55.58,166.74
0197737341701,,,,,50.22,150.66
0197737274740,,,,,47.57,142.71
0197737274764,,,,,52.26,156.78
0197737274962,,,,,60.3,180.90
0197737284824,,,,,41.54,124.62
0197737342128,,,,,51.59,154.77
