"code","category","manufacturer","brand","model","unitPrice","multiplier","msrp","status"
"716736443737","Eyeglass Frame","Safilo","","","133.0","3.0","399.0","Active"
"716736747446","Eyeglass Frame","Safilo","","","133.0","3.0","399.0","Active"
"716736983134","Eyeglass Frame","Safilo","","","106.0","3.0","318.0","Active"
"197737130558","Eyeglass Frame","Safilo","","","138.0","3.0","414.0","Active"
"197737282868","Eyeglass Frame","Safilo","","","133.0","3.0","399.0","Active"
"197737262723","Eyeglass Frame","Safilo","","","122.0","3.0","366.0","Active"
"197737262822","Eyeglass Frame","Safilo","","","122.0","3.0","366.0","Active"
"716736747682","Eyeglass Frame","Safilo","","","106.0","3.0","318.0","Active"
"197737048525","Eyeglass Frame","Safilo","","","126.0","3.0","378.0","Active"
"197737074920","Eyeglass Frame","Safilo","","","130.0","3.0","390.0","Active"
"197737074937","Eyeglass Frame","Safilo","","","130.0","3.0","390.0","Active"
"197737067663","Eyeglass Frame","Safilo","","","119.0","3.0","357.0","Active"
"197737127985","Eyeglass Frame","Safilo","","","111.0","3.0","333.0","Active"
"197737132590","Eyeglass Frame","Safilo","","","106.0","3.0","318.0","Active"
"197737132644","Eyeglass Frame","Safilo","","","119.0","3.0","357.0","Active"
"197737211646","Eyeglass Frame","Safilo","","","118.0","3.0","354.0","Active"
"197737212650","Eyeglass Frame","Safilo","","","114.0","3.0","342.0","Active"
"197737208912","Eyeglass Frame","Safilo","","","132.0","3.0","396.0","Active"
"197737263362","Eyeglass Frame","Safilo","","","86.0","3.0","258.0","Active"
"197737257934","Eyeglass Frame","Safilo","","","111.0","3.0","333.0","Active"
"197737258207","Eyeglass Frame","Safilo","","","96.0","3.0","288.0","Active"
"0197737219420","Eyeglass Frame","Safilo","","","93.95","3.0","281.85","Active"
"0197737219383","Eyeglass Frame","Safilo","","","93.95","3.0","281.85","Active"
"0197737274528","Eyeglass Frame","Safilo","","","86.95","3.0","260.85","Active"
"0197737283728","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737025717","Eyeglass Frame","Safilo","","","95.95","3.0","287.85","Active"
"0197737284503","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0716736923277","Eyeglass Frame","Safilo","","","95.95","3.0","287.85","Active"
"0197737273903","Eyeglass Frame","Safilo","","","74.95","3.0","224.85000000000002","Active"
"0197737179984","Eyeglass Frame","Safilo","","","104.0","3.0","312.0","Active"
"0197737341701","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737273989","Eyeglass Frame","Safilo","","","82.95","3.0","248.85000000000002","Active"
"0197737274030","Eyeglass Frame","Safilo","","","82.95","3.0","248.85000000000002","Active"
"0197737274245","Eyeglass Frame","Safilo","","","78.95","3.0","236.85000000000002","Active"
"0197737211240","Eyeglass Frame","Safilo","","","96.0","3.0","288.0","Active"
"0197737140588","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737377908","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737179939","Eyeglass Frame","Safilo","","","93.95","3.0","281.85","Active"
"0197737182878","Eyeglass Frame","Safilo","","","78.0","3.0","234.0","Active"
"0197737140632","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737217631","Eyeglass Frame","Safilo","","","87.95","3.0","263.85","Active"
"0197737341749","Eyeglass Frame","Safilo","","","74.95","3.0","224.85000000000002","Active"
"0197737274313","Eyeglass Frame","Safilo","","","82.95","3.0","248.85000000000002","Active"
"0197737341893","Eyeglass Frame","Safilo","","","62.0","3.0","186.0","Active"
"0197737274382","Eyeglass Frame","Safilo","","","94.95","3.0","284.85","Active"
"0197737341817","Eyeglass Frame","Safilo","","","122.0","3.0","366.0","Active"
"0197737211080","Eyeglass Frame","Safilo","","","78.0","3.0","234.0","Active"
"0197737341848","Eyeglass Frame","Safilo","","","60.0","3.0","180.0","Active"
"0197737075682","Eyeglass Frame","Safilo","","","89.95","3.0","269.85","Active"
"0197737024512","Eyeglass Frame","Safilo","","","98.95","3.0","296.85","Active"
"0197737274542","Eyeglass Frame","Safilo","","","86.95","3.0","260.85","Active"
"197737249861","Eyeglass Frame","Safilo","","","98.5","3.0","295.5","Active"
"197737026059","Eyeglass Frame","Safilo","","","83.5","3.0","250.5","Active"
"716736995892","Eyeglass Frame","Safilo","","","83.5","3.0","250.5","Active"
"716736320403","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"716736320465","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"716736336794","Eyeglass Frame","Safilo","","","84.5","3.0","253.5","Active"
"197737129088","Eyeglass Frame","Safilo","","","84.5","3.0","253.5","Active"
"716736336800","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"716736995847","Eyeglass Frame","Safilo","","","90.6","3.0","271.79999999999995","Active"
"716736980423","Eyeglass Frame","Safilo","","","95.0","3.0","285.0","Active"
"197737060879","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"197737081294","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"197737115784","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"197737115883","Eyeglass Frame","Safilo","","","90.5","3.0","271.5","Active"
"197737207939","Eyeglass Frame","Safilo","","","84.0","3.0","252.0","Active"
"197737208042","Eyeglass Frame","Safilo","","","74.0","3.0","222.0","Active"
"197737205553","Eyeglass Frame","Safilo","","","82.0","3.0","246.0","Active"
"197737205607","Eyeglass Frame","Safilo","","","84.0","3.0","252.0","Active"
"197737207991","Eyeglass Frame","Safilo","","","78.0","3.0","234.0","Active"
"197737337131","Eyeglass Frame","Safilo","","","94.5","3.0","283.5","Active"
"197737238421","Eyeglass Frame","Safilo","","","83.5","3.0","250.5","Active"
"197737238452","Eyeglass Frame","Safilo","","","81.5","3.0","244.5","Active"
"197737280826","Eyeglass Frame","Safilo","","","104.0","3.0","312.0","Active"
"0197737030926","Eyeglass Frame","Safilo","","","76.95","3.0","230.85000000000002","Active"
"0716736294483","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0716736294520","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0197737285159","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737285180","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0716736795300","Eyeglass Frame","Safilo","","","53.95","3.0","161.85000000000002","Active"
"0716736795317","Eyeglass Frame","Safilo","","","53.95","3.0","161.85000000000002","Active"
"0197737211455","Eyeglass Frame","Safilo","","","76.95","3.0","230.85000000000002","Active"
"0716736973821","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0716736973883","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0716736973890","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0197737004781","Eyeglass Frame","Safilo","","","55.95","3.0","167.85000000000002","Active"
"0197737069148","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737053734","Eyeglass Frame","Safilo","","","85.95","3.0","257.85","Active"
"0197737053437","Eyeglass Frame","Safilo","","","76.95","3.0","230.85000000000002","Active"
"0197737053499","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0197737076016","Eyeglass Frame","Safilo","","","87.95","3.0","263.85","Active"
"0197737075927","Eyeglass Frame","Safilo","","","85.95","3.0","257.85","Active"
"0197737075972","Eyeglass Frame","Safilo","","","85.95","3.0","257.85","Active"
"0197737075910","Eyeglass Frame","Safilo","","","87.95","3.0","263.85","Active"
"0197737122263","Eyeglass Frame","Safilo","","","78.95","3.0","236.85000000000002","Active"
"0197737122270","Eyeglass Frame","Safilo","","","78.95","3.0","236.85000000000002","Active"
"0197737100070","Eyeglass Frame","Safilo","","","91.95","3.0","275.85","Active"
"0197737100162","Eyeglass Frame","Safilo","","","89.95","3.0","269.85","Active"
"0197737099107","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0197737099145","Eyeglass Frame","Safilo","","","72.95","3.0","218.85000000000002","Active"
"0197737099213","Eyeglass Frame","Safilo","","","70.95","3.0","212.85000000000002","Active"
"0197737170998","Eyeglass Frame","Safilo","","","46.0","3.0","138.0","Active"
"0197737170110","Eyeglass Frame","Safilo","","","82.5","3.0","247.5","Active"
"0197737170127","Eyeglass Frame","Safilo","","","82.5","3.0","247.5","Active"
"0197737195953","Eyeglass Frame","Safilo","","","76.0","3.0","228.0","Active"
"0197737195977","Eyeglass Frame","Safilo","","","76.0","3.0","228.0","Active"
"0197737195984","Eyeglass Frame","Safilo","","","72.0","3.0","216.0","Active"
"0197737196011","Eyeglass Frame","Safilo","","","72.0","3.0","216.0","Active"
"0197737271251","Eyeglass Frame","Safilo","","","85.0","3.0","255.0","Active"
"0197737283087","Eyeglass Frame","Safilo","","","76.95","3.0","230.85000000000002","Active"
"716736922171","Sunglasses","Safilo","","","102.0","2.75","280.5","Active"
"197737062736","Sunglasses","Safilo","","","149.0","2.75","409.75","Active"
"197737075200","Sunglasses","Safilo","","","122.0","2.75","335.5","Active"
"197737121709","Sunglasses","Safilo","","","144.0","2.75","396.0","Active"
"197737262563","Sunglasses","Safilo","","","122.0","2.75","335.5","Active"
"197737262532","Sunglasses","Safilo","","","122.0","2.75","335.5","Active"
"0197737142162","Sunglasses","Safilo","","","90.0","2.75","247.5","Active"
"0197737274962","Sunglasses","Safilo","","","78.0","2.75","214.5","Active"
"0197737284824","Sunglasses","Safilo","","","90.0","2.75","247.5","Active"
"0197737274665","Sunglasses","Safilo","","","69.0","2.75","189.75","Active"
"0197737274740","Sunglasses","Safilo","","","95.0","2.75","261.25","Active"
"0197737274764","Sunglasses","Safilo","","","71.0","2.75","195.25","Active"
"0197737141455","Sunglasses","Safilo","","","90.0","2.75","247.5","Active"
"0197737182632","Sunglasses","Safilo","","","95.0","2.75","261.25","Active"
"0197737213138","Sunglasses","Safilo","","","82.0","2.75","225.5","Active"
"0197737342128","Sunglasses","Safilo","","","62.0","2.75","170.5","Active"
"0197737342180","Sunglasses","Safilo","","","77.0","2.75","211.75","Active"
"0716736924052","Sunglasses","Safilo","","","90.0","2.75","247.5","Active"
"716736095394","Sunglasses","Safilo","","","55.6","2.75","152.9","Active"
"197737129576","Sunglasses","Safilo","","","87.0","2.75","239.25","Active"
"197737208158","Sunglasses","Safilo","","","90.0","2.75","247.5","Active"
"197737243999","Sunglasses","Safilo","","","86.0","2.75","236.5","Active"
"197737244026","Sunglasses","Safilo","","","86.0","2.75","236.5","Active"
"197737243920","Sunglasses","Safilo","","","78.0","2.75","214.5","Active"
"197737244040","Sunglasses","Safilo","","","83.0","2.75","228.25","Active"
"197737235178","Sunglasses","Safilo","","","90.0","2.75","247.5","Active"
"0716736847368","Sunglasses","Safilo","","","79.0","2.75","217.25","Active"
"0716736973791","Sunglasses","Safilo","","","68.0","2.75","187.0","Active"
"0716736989648","Sunglasses","Safilo","","","70.0","2.75","192.5","Active"
"0197737072117","Sunglasses","Safilo","","","79.0","2.75","217.25","Active"
"0197737099442","Sunglasses","Safilo","","","81.0","2.75","222.75","Active"
"0197737246242","Sunglasses","Safilo","","","92.0","2.75","253.0","Active"
"0197737246310","Sunglasses","Safilo","","","88.0","2.75","242.0","Active"
